id;EP_indicator;source;source type;input vector/activity;activity type;output vector/activity;carrier/technology;carrier/technology type;attribute name;value;unit;internal comments;;;;
166;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - N.Gas;1.88;;;;;;
167;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - Biomass;0.46;;;;;;
168;pes;Renewable;VRES;RES;Primary energy supply;;;CHP3;CHP3 - Renewable;0.0;;;;;;
169;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - H2 etc.;0.0;;;;;;
170;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);CHP plants;CHP3;CHP3 - Biofuel;0.0;;;;;;
171;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;CHP3;CHP3 - Nucl/CCS;0.0;;;;;;
172;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - Coal;0.0;;;;;;
173;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - Oil;0.0;;;;;;
174;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - N.Gas;0.0;;;;;;
175;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - Biomass;0.0;;;;;;
176;pes;Renewable;VRES;RES;Primary energy supply;;;Boiler2;Boiler2 - Renewable;0.0;;;;;;
177;pes;H2 etc.;Hydrogen;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - H2 etc.;0.0;;;;;;
178;pes;Biofuel;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler2;Boiler2 - Biofuel;0.0;;;;;;
179;pes;Nucl/CCS;Nuclear;Nuclear;Primary energy supply;;;Boiler2;Boiler2 - Nucl/CCS;0.0;;;;;;
180;pes;Coal;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - Coal;0.03;;;;;;
181;pes;Oil;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - Oil;0.0;;;;;;
182;pes;N.Gas;Fossil fuel;Fossil fuel;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - N.Gas;0.02;;;;;;
183;pes;Biomass;Biomass, biofuels & waste;RES;Primary energy supply;Heat and power (CHP, PP, Boilers);DH Boilers;Boiler3;Boiler3 - Biomass;0.0;;;;;;
184;pes;Renewable;VRES;RES;Primary energy supply;;;Boiler3;Boiler3 - Renewable;0.0;;;;;;
