EP_ind;source;source type;input vector/activity;activity type;output vector/activity;carrier/technology;carrier/technology type;attribute name
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Gasification Upgrade
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;DHP Boiler group 1
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Waste CHP
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Absorp. HP (Waste)
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Biogas Plant
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Gasification Plant
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;BioDiesel Plant
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;BioPetrol Plant
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;BioJPPlant
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Tidal Power
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;CSP Solar Power
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Carbon Recycling
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Methanation
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Liquidation + JP
inv_cost;;;Desalination;Costs;fixed OM;Fixed O&M;;Desalination Plant
inv_cost;;;Desalination;Costs;fixed OM;Fixed O&M;;Water storage
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Gas Storage
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Oil Storage
inv_cost;;;Liquid and gas fuels;Costs;fixed OM;Fixed O&M;;Methanol Storage
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Interconnection
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Geothermal Heat
inv_cost;;;Renewable energy;Costs;fixed OM;Fixed O&M;;Indust. Excess Heat
inv_cost;;;Heat and electricity;Costs;fixed OM;Fixed O&M;;Indust. CHP Electr.
